title,date,publication,remove_tags,add_tags,source,notes
Mining.,19 May 1896,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
The Gold Fields.,21 April 1896,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Coal and Shale Mines.,7 June 1895,Mountaineer,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
The Megalong Shale Mines.,21 December 1893,National Advocate,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,3 November 1893,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,10 February 1893,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,16 September 1892,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
End of the Katoomba Strike.,11 July 1892,Sydney Morning Herald,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Local and General.,7 July 1892,Bathurst  Free Press and Mining Journal,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,11 March 1892,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Shale Miners.,19 September 1891,Daily Telegraph,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Local News.,6 September 1890,Nepean Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Rich Mineral Deposits.,29 October 1889,Australian Star,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,7 January 1888,Nepean Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,29 September 1888,Nepean Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Great Wentworth Falls Coal and Shale Mining Company.,31 August 1885,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba.,8 July 1908,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Valley.,27 October 1893,Katoomba Times,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,26 April 1890,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
News in Brief,9 October 1903,Mountaineer,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,7 July 1893,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,21 October 1892,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Matters.,5 August 1892,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Megalong Matters.,26 August 1892,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,13 May 1904,Blue Mountain Gazette,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,9 September 1892,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Jottings.,23 May 1891,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,19 July 1890,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Social at Hartley Vale.,23 September 1898,Lithgow Mercury,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,13 March 1903,Blue Mountain Gazette,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
The Target.,5 October 1898,National Advocate,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Moutains Mixtures.,17 November 1893,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,23 March 1894,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Girls Cricket Match at Katoomba.,26 April 1895,Mountaineer,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
The Rockley Game.,7 February 1896,Mountaineer,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,4 December 1891,Katoomba Times,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
Hartley Vale.,13 February 1911,Lithgow Mercury,Recreation for miners,recreation for miners,high_impact_mappings,Corrected mapping to generic singular leaf
